date;province;region;trend
23/03/2020;Limburg;Flanders;13
24/03/2020;Hainaut;Wallonia;27
25/03/2020;Luxembourg;Wallonia;8
26/03/2020;Namur;Wallonia;10
27/03/2020;Oost-Vlaanderen;Flanders;25
29/03/2020;West-Vlaanderen;Flanders;44
31/03/2020;Vlaams-Brabant;Flanders;-8
02/04/2020;Limburg;Flanders;17
03/04/2020;Brussels;Brussels;-18
11/04/2020;Hainaut;Wallonia;-3
11/04/2020;Limburg;Flanders;-17
11/04/2020;Vlaams-Brabant;Flanders;-5
12/04/2020;Namur;Wallonia;4
13/04/2020;West-Vlaanderen;Flanders;27
14/04/2020;Luxembourg;Wallonia;7
18/04/2020;Brussels;Brussels;-15
24/04/2020;Hainaut;Wallonia;8
08/05/2020;Limburg;Flanders;-16
16/05/2020;Limburg;Flanders;-9
19/05/2020;Namur;Wallonia;-1
28/05/2020;Antwerpen;Flanders;-20
29/05/2020;Hainaut;Wallonia;-10
20/03/2020;Limburg;Flanders;31
26/03/2020;Vlaams-Brabant;Flanders;29
27/03/2020;Antwerpen;Flanders;37
27/03/2020;Luxembourg;Wallonia;15
31/03/2020;Luik;Wallonia;24
31/03/2020;Luxembourg;Wallonia;-4
31/03/2020;West-Vlaanderen;Flanders;10
01/04/2020;Brabant Wallon;Wallonia;-5
02/04/2020;Vlaams-Brabant;Flanders;8
05/04/2020;Antwerpen;Flanders;20
05/04/2020;Vlaams-Brabant;Flanders;10
06/04/2020;Antwerpen;Flanders;10
06/04/2020;Hainaut;Wallonia;16
11/04/2020;Oost-Vlaanderen;Flanders;-15
16/04/2020;Namur;Wallonia;10
20/04/2020;Hainaut;Wallonia;31
20/04/2020;Luik;Wallonia;-2
25/04/2020;Brussels;Brussels;-23
25/04/2020;Luxembourg;Wallonia;-7
29/04/2020;West-Vlaanderen;Flanders;-19
02/05/2020;Oost-Vlaanderen;Flanders;5
15/05/2020;West-Vlaanderen;Flanders;-10
16/05/2020;Hainaut;Wallonia;-15
23/05/2020;Brussels;Brussels;-14
25/03/2020;Oost-Vlaanderen;Flanders;43
28/03/2020;Antwerpen;Flanders;73
29/03/2020;Luik;Wallonia;37
07/04/2020;Vlaams-Brabant;Flanders;-2
08/04/2020;Brussels;Brussels;-11
10/04/2020;West-Vlaanderen;Flanders;-1
11/04/2020;Luik;Wallonia;-11
12/04/2020;Limburg;Flanders;3
14/04/2020;Brussels;Brussels;-10
15/04/2020;West-Vlaanderen;Flanders;14
19/04/2020;Namur;Wallonia;8
19/04/2020;Oost-Vlaanderen;Flanders;16
20/04/2020;West-Vlaanderen;Flanders;14
21/04/2020;Limburg;Flanders;-8
29/04/2020;Hainaut;Wallonia;-13
09/05/2020;Vlaams-Brabant;Flanders;-6
10/05/2020;Luik;Wallonia;-1
14/05/2020;Limburg;Flanders;-11
15/05/2020;Oost-Vlaanderen;Flanders;-10
18/05/2020;Namur;Wallonia;3
20/05/2020;Antwerpen;Flanders;-18
23/05/2020;Limburg;Flanders;-3
25/05/2020;Oost-Vlaanderen;Flanders;0
28/05/2020;Limburg;Flanders;-3
19/03/2020;Brussels;Brussels;21
19/03/2020;Limburg;Flanders;21
20/03/2020;Luik;Wallonia;26
21/03/2020;Oost-Vlaanderen;Flanders;44
23/03/2020;Luik;Wallonia;12
23/03/2020;Vlaams-Brabant;Flanders;27
24/03/2020;Vlaams-Brabant;Flanders;9
28/03/2020;Brussels;Brussels;38
28/03/2020;Luik;Wallonia;12
28/03/2020;Brabant Wallon;Wallonia;2
03/04/2020;Brabant Wallon;Wallonia;2
05/04/2020;Limburg;Flanders;-3
08/04/2020;Luxembourg;Wallonia;-5
