Datum;Provintie;Regio;trend
2020/03/15;West-Vlaanderen;Flanders;4
2020/03/15;Oost-Vlaanderen;Flanders;4
2020/03/15;Vlaams-Brabant;Flanders;2
2020/03/15;Antwerpen;Flanders;0
2020/03/15;Limburg;Flanders;6
2020/03/16;Oost-Vlaanderen;Flanders;4
2020/03/16;Limburg;Flanders;7
2020/03/16;Antwerpen;Flanders;11
2020/03/16;West-Vlaanderen;Flanders;3
2020/03/16;Vlaams-Brabant;Flanders;13
2020/03/17;Oost-Vlaanderen;Flanders;8
2020/03/17;Vlaams-Brabant;Flanders;9
2020/03/17;Antwerpen;Flanders;12
2020/03/17;Limburg;Flanders;12
2020/03/17;West-Vlaanderen;Flanders;9
2020/03/18;Vlaams-Brabant;Flanders;3
2020/03/18;Antwerpen;Flanders;9
2020/03/18;West-Vlaanderen;Flanders;24
2020/03/18;Oost-Vlaanderen;Flanders;21
2020/03/18;Limburg;Flanders;24
2020/03/19;Antwerpen;Flanders;29
2020/03/19;West-Vlaanderen;Flanders;18
2020/03/19;Vlaams-Brabant;Flanders;9
2020/03/19;Limburg;Flanders;21
2020/03/19;Oost-Vlaanderen;Flanders;16
2020/03/20;Limburg;Flanders;31
2020/03/20;West-Vlaanderen;Flanders;17
2020/03/20;Oost-Vlaanderen;Flanders;46
2020/03/20;Vlaams-Brabant;Flanders;15
2020/03/20;Antwerpen;Flanders;27
2020/03/21;Vlaams-Brabant;Flanders;11
2020/03/21;West-Vlaanderen;Flanders;26
2020/03/21;Antwerpen;Flanders;30
2020/03/21;Oost-Vlaanderen;Flanders;44
2020/03/21;Limburg;Flanders;42
2020/03/22;Antwerpen;Flanders;40
2020/03/22;Vlaams-Brabant;Flanders;15
2020/03/22;Limburg;Flanders;36
2020/03/22;Oost-Vlaanderen;Flanders;18
2020/03/22;West-Vlaanderen;Flanders;20
2020/03/23;Oost-Vlaanderen;Flanders;18
2020/03/23;West-Vlaanderen;Flanders;26
2020/03/23;Vlaams-Brabant;Flanders;27
2020/03/23;Antwerpen;Flanders;39
2020/03/23;Limburg;Flanders;13
2020/03/24;Oost-Vlaanderen;Flanders;39
2020/03/24;Vlaams-Brabant;Flanders;9
2020/03/24;West-Vlaanderen;Flanders;39
2020/03/24;Antwerpen;Flanders;66
2020/03/24;Limburg;Flanders;67
2020/03/25;Vlaams-Brabant;Flanders;26
2020/03/25;West-Vlaanderen;Flanders;71
2020/03/25;Oost-Vlaanderen;Flanders;43
2020/03/25;Limburg;Flanders;46
2020/03/25;Antwerpen;Flanders;89
2020/03/26;Vlaams-Brabant;Flanders;29
2020/03/26;Limburg;Flanders;35
2020/03/26;West-Vlaanderen;Flanders;35
2020/03/26;Antwerpen;Flanders;49
2020/03/26;Oost-Vlaanderen;Flanders;23
2020/03/27;Antwerpen;Flanders;37
2020/03/27;Oost-Vlaanderen;Flanders;25
2020/03/27;West-Vlaanderen;Flanders;48
2020/03/27;Vlaams-Brabant;Flanders;12
2020/03/27;Limburg;Flanders;72
2020/03/28;Antwerpen;Flanders;73
2020/03/28;West-Vlaanderen;Flanders;37
2020/03/28;Oost-Vlaanderen;Flanders;38
2020/03/28;Limburg;Flanders;30
2020/03/28;Vlaams-Brabant;Flanders;25
2020/03/29;Vlaams-Brabant;Flanders;14
2020/03/29;Antwerpen;Flanders;34
2020/03/29;West-Vlaanderen;Flanders;44
2020/03/29;Oost-Vlaanderen;Flanders;51
2020/03/29;Limburg;Flanders;42
2020/03/30;Limburg;Flanders;26
2020/03/30;Antwerpen;Flanders;46
2020/03/30;Oost-Vlaanderen;Flanders;50
2020/03/30;West-Vlaanderen;Flanders;36
2020/03/30;Vlaams-Brabant;Flanders;18
2020/03/31;Antwerpen;Flanders;-10
2020/03/31;Vlaams-Brabant;Flanders;-8
2020/03/31;Limburg;Flanders;45
2020/03/31;West-Vlaanderen;Flanders;10
2020/03/31;Oost-Vlaanderen;Flanders;17
2020/04/01;Oost-Vlaanderen;Flanders;14
2020/04/01;Vlaams-Brabant;Flanders;20
2020/04/01;West-Vlaanderen;Flanders;19
2020/04/01;Antwerpen;Flanders;32
2020/04/01;Limburg;Flanders;12
2020/04/02;Oost-Vlaanderen;Flanders;6
2020/04/02;Antwerpen;Flanders;21
2020/04/02;Vlaams-Brabant;Flanders;8
2020/04/02;Limburg;Flanders;17
2020/04/02;West-Vlaanderen;Flanders;20
2020/04/03;Vlaams-Brabant;Flanders;1
2020/04/03;West-Vlaanderen;Flanders;65
2020/04/03;Antwerpen;Flanders;12
2020/04/03;Oost-Vlaanderen;Flanders;3
2020/04/03;Limburg;Flanders;31
2020/04/04;West-Vlaanderen;Flanders;23
2020/04/04;Oost-Vlaanderen;Flanders;6
2020/04/04;Antwerpen;Flanders;-13
2020/04/04;Vlaams-Brabant;Flanders;-4
2020/04/04;Limburg;Flanders;-17
2020/04/05;Limburg;Flanders;-3
2020/04/05;Oost-Vlaanderen;Flanders;13
2020/04/05;Antwerpen;Flanders;20
2020/04/05;West-Vlaanderen;Flanders;8
2020/04/05;Vlaams-Brabant;Flanders;10
2020/04/06;Limburg;Flanders;22
2020/04/06;Vlaams-Brabant;Flanders;10
2020/04/06;West-Vlaanderen;Flanders;8
2020/04/06;Oost-Vlaanderen;Flanders;34
2020/04/06;Antwerpen;Flanders;10
2020/04/07;Vlaams-Brabant;Flanders;-2
2020/04/07;Limburg;Flanders;-3
2020/04/07;West-Vlaanderen;Flanders;10
2020/04/07;Oost-Vlaanderen;Flanders;-14
2020/04/07;Antwerpen;Flanders;7
2020/04/08;West-Vlaanderen;Flanders;-10
2020/04/08;Antwerpen;Flanders;-23
2020/04/08;Vlaams-Brabant;Flanders;-1
2020/04/08;Oost-Vlaanderen;Flanders;-14
2020/04/08;Limburg;Flanders;-2
2020/04/09;West-Vlaanderen;Flanders;-3
2020/04/09;Vlaams-Brabant;Flanders;2
2020/04/09;Limburg;Flanders;6
2020/04/09;Antwerpen;Flanders;-9
2020/04/09;Oost-Vlaanderen;Flanders;4
2020/04/10;West-Vlaanderen;Flanders;-1
2020/04/10;Antwerpen;Flanders;-34
2020/04/10;Limburg;Flanders;3
2020/04/10;Vlaams-Brabant;Flanders;2
2020/04/10;Oost-Vlaanderen;Flanders;12
2020/04/11;Oost-Vlaanderen;Flanders;-15
2020/04/11;Vlaams-Brabant;Flanders;-5
2020/04/11;Antwerpen;Flanders;-23
2020/04/11;West-Vlaanderen;Flanders;-4
2020/04/11;Limburg;Flanders;-17
2020/04/12;Oost-Vlaanderen;Flanders;-12
2020/04/12;West-Vlaanderen;Flanders;17
2020/04/12;Limburg;Flanders;3
2020/04/12;Vlaams-Brabant;Flanders;11
2020/04/12;Antwerpen;Flanders;-22
2020/04/13;West-Vlaanderen;Flanders;27
2020/04/13;Oost-Vlaanderen;Flanders;15
2020/04/13;Antwerpen;Flanders;-18
2020/04/13;Vlaams-Brabant;Flanders;11
2020/04/13;Limburg;Flanders;11
2020/04/14;Antwerpen;Flanders;-9
2020/04/14;Oost-Vlaanderen;Flanders;11
2020/04/14;Vlaams-Brabant;Flanders;0
2020/04/14;Limburg;Flanders;17
2020/04/14;West-Vlaanderen;Flanders;2
2020/04/15;Vlaams-Brabant;Flanders;0
2020/04/15;West-Vlaanderen;Flanders;14
2020/04/15;Antwerpen;Flanders;-45
2020/04/15;Limburg;Flanders;-14
2020/04/15;Oost-Vlaanderen;Flanders;-7
2020/04/16;Antwerpen;Flanders;-10
2020/04/16;West-Vlaanderen;Flanders;-14
2020/04/16;Vlaams-Brabant;Flanders;-13
2020/04/16;Limburg;Flanders;-11
2020/04/16;Oost-Vlaanderen;Flanders;-9
2020/04/17;Limburg;Flanders;-13
2020/04/17;West-Vlaanderen;Flanders;-12
2020/04/17;Antwerpen;Flanders;-3
2020/04/17;Oost-Vlaanderen;Flanders;-18
2020/04/17;Vlaams-Brabant;Flanders;0
