 Date;Province;Region;Number of reporting hospitals;Total of hospitalized patients;Total in ICU;Total under respiratory support;Total on ECMO;Number of new hospital intakes;Number of new hospital discharges
23/03/2020;Limburg;Flanders;7;181;38;27;0;45;32
24/03/2020;Hainaut;Wallonia;14;336;77;58;1;38;11
25/03/2020;Luxembourg;Wallonia;3;63;20;11;0;10;2
26/03/2020;Namur;Wallonia;6;70;18;12;1;13;3
27/03/2020;Oost-Vlaanderen;Flanders;14;393;99;64;2;53;28
29/03/2020;West-Vlaanderen;Flanders;11;516;94;53;0;61;17
31/03/2020;Vlaams-Brabant;Flanders;6;289;66;49;4;22;30
02/04/2020;Limburg;Flanders;7;500;105;78;0;54;37
03/04/2020;Brussels;Brussels;16;914;196;164;11;62;80
11/04/2020;Hainaut;Wallonia;14;764;145;116;11;64;67
11/04/2020;Limburg;Flanders;7;450;94;74;2;47;64
11/04/2020;Vlaams-Brabant;Flanders;6;285;74;49;4;17;22
12/04/2020;Namur;Wallonia;6;184;50;34;4;8;4
13/04/2020;West-Vlaanderen;Flanders;11;656;123;74;0;41;14
14/04/2020;Luxembourg;Wallonia;3;112;22;18;1;10;3
18/04/2020;Brussels;Brussels;15;807;173;130;14;40;55
24/04/2020;Hainaut;Wallonia;14;648;103;74;11;41;33
24/04/2020;Brabant Wallon;Wallonia;2;35;11;9;0;2;1
08/05/2020;Limburg;Flanders;7;201;48;29;2;9;25
16/05/2020;Limburg;Flanders;7;116;28;14;1;4;13
19/05/2020;Namur;Wallonia;6;66;12;3;2;4;5
20/05/2020;Luxembourg;Wallonia;3;25;2;2;0;0;2
28/05/2020;Antwerpen;Flanders;14;145;38;19;1;4;24
29/05/2020;Hainaut;Wallonia;14;93;9;6;1;5;15
30/05/2020;Luxembourg;Wallonia;3;12;2;1;0;0;1
15/03/2020;West-Vlaanderen;Flanders;11;19;3;1;0;6;2
17/03/2020;Namur;Wallonia;6;4;1;1;0;0;0
20/03/2020;Limburg;Flanders;7;114;27;13;0;38;7
26/03/2020;Vlaams-Brabant;Flanders;6;187;43;30;1;38;9
27/03/2020;Antwerpen;Flanders;14;627;122;100;2;76;39
27/03/2020;Luxembourg;Wallonia;3;84;18;11;0;16;1
31/03/2020;Luik;Wallonia;12;500;119;103;3;58;34
31/03/2020;Luxembourg;Wallonia;3;103;20;15;0;6;10
31/03/2020;West-Vlaanderen;Flanders;11;541;103;63;0;48;38
01/04/2020;Brabant Wallon;Wallonia;2;61;17;15;0;5;10
02/04/2020;Vlaams-Brabant;Flanders;6;343;79;55;5;31;23
05/04/2020;Antwerpen;Flanders;14;939;222;185;2;59;39
05/04/2020;Vlaams-Brabant;Flanders;6;313;71;52;5;26;16
06/04/2020;Antwerpen;Flanders;14;965;223;188;2;46;36
06/04/2020;Hainaut;Wallonia;14;726;145;121;8;32;16
11/04/2020;Oost-Vlaanderen;Flanders;14;652;172;120;3;53;68
16/04/2020;Namur;Wallonia;6;193;46;28;3;17;7
20/04/2020;Hainaut;Wallonia;14;721;121;95;9;46;15
20/04/2020;Luik;Wallonia;12;502;128;96;2;12;14
25/04/2020;Brussels;Brussels;15;667;158;109;15;30;53
25/04/2020;Luxembourg;Wallonia;3;69;13;12;0;4;11
29/04/2020;West-Vlaanderen;Flanders;11;431;80;50;3;20;39
02/05/2020;Oost-Vlaanderen;Flanders;14;349;86;44;2;13;8
10/05/2020;Luxembourg;Wallonia;3;34;5;4;0;0;2
15/05/2020;West-Vlaanderen;Flanders;11;236;43;26;3;12;22
16/05/2020;Hainaut;Wallonia;14;220;37;22;2;11;26
23/05/2020;Brussels;Brussels;15;251;54;39;5;7;21
27/05/2020;Brabant Wallon;Wallonia;2;5;1;0;0;0;1
24/03/2020;Namur;Wallonia;6;42;10;8;0;11;0
24/03/2020;Brabant Wallon;Wallonia;2;37;9;9;0;8;3
25/03/2020;Oost-Vlaanderen;Flanders;14;263;76;47;1;53;10
26/03/2020;Brabant Wallon;Wallonia;2;41;14;12;0;7;5
28/03/2020;Antwerpen;Flanders;14;725;140;109;1;118;45
29/03/2020;Luik;Wallonia;12;425;102;87;2;50;13
07/04/2020;Vlaams-Brabant;Flanders;6;311;73;56;5;31;33
08/04/2020;Brussels;Brussels;15;911;193;161;18;68;79
10/04/2020;West-Vlaanderen;Flanders;11;641;116;71;0;49;50
11/04/2020;Luik;Wallonia;12;593;155;139;2;39;50
12/04/2020;Limburg;Flanders;7;451;96;71;2;24;21
14/04/2020;Brussels;Brussels;15;897;187;143;16;31;41
15/04/2020;West-Vlaanderen;Flanders;11;656;123;64;0;63;49
19/04/2020;Namur;Wallonia;6;180;41;25;4;9;1
19/04/2020;Oost-Vlaanderen;Flanders;14;603;137;91;2;27;11
20/04/2020;West-Vlaanderen;Flanders;11;603;110;68;1;22;8
21/04/2020;Limburg;Flanders;7;360;77;60;1;22;30
29/04/2020;Hainaut;Wallonia;14;529;80;58;7;29;42
09/05/2020;Vlaams-Brabant;Flanders;6;99;25;14;4;7;13
10/05/2020;Luik;Wallonia;12;169;50;29;1;6;7
11/05/2020;Luxembourg;Wallonia;3;34;5;4;0;0;0
14/05/2020;Limburg;Flanders;7;134;30;16;1;3;14
15/05/2020;Luxembourg;Wallonia;3;31;3;3;0;1;4
